mxene_type,terminations,electrolyte,electrolyte_concentration,thickness_um,deposition_method,annealing_temp_c,annealing_time_min,interlayer_spacing_nm,specific_surface_area_m2g,pore_volume_cm3g,optical_transmittance,sheet_resistance_ohm_sq,areal_capacitance_mf_cm2,esr_ohm,rate_capability_percent,cycle_life_cycles
Ti3C2Tx/GNPs (20 wt%),mixed,1 M H2SO4,0.0,0.0,Mixed-acid method,190.0,0.0,0.0,14.25,0.0,0.0,0.0,339.9,2.0,80.0,6487
Ti3C2Tx/GNPs (20 wt%),mixed,1 M H2SO4,0.0,0.0,Mixed-acid method,190.0,0.0,0.0,14.25,0.0,0.0,0.0,216.60000000000002,2.0,80.0,22661
Ti3C2Tx,mixed,KOH,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,138.0,2.0,80.0,22661
Ti3C2Tx,mixed,Na2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,112.5,2.0,80.0,22661
Ti3C2Tx,mixed,KOH,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,76.5,2.0,80.0,22661
Ti3C2Tx,mixed,NaCl,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,100.5,2.0,80.0,22661
Ti3C2Tx,mixed,Li2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,270.0,2.0,80.0,22661
Ti3C2Tx,mixed,K2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,109.5,2.0,80.0,22661
Ti3C2Tx/SCNT,mixed,,0.0,0.0,self-assembled,190.0,0.0,0.0,20.5,0.0,0.0,0.0,610.0,2.0,80.0,22661
rGO/Ti3C2,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,171.4,2.0,80.0,22661
Ti3C2Tx/CNT (BMX yarn),mixed,,0.0,0.0,biscrolling,190.0,0.0,0.0,20.5,0.0,0.0,0.0,798.0,2.0,80.0,100000
Nitrogen-doped Nb2CTx/rGO,mixed,H2SO4,0.0,0.0,supercritical fluid method,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1224.0,2.0,80.0,22661
Ti3C2/MnO2,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,377.0,2.0,80.0,22661
Ti3C2Tx MXene/NiCo2O4 nanosphere,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1537.5,2.0,80.0,5692
d-Ti3C2/NF,mixed,KOH,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,981.0,2.0,80.0,5173
borophene/Ti3C2Tx,mixed,,0.0,0.0,electrophoretic deposition,190.0,0.0,0.0,20.5,0.0,0.0,0.0,940.0500000000001,2.0,80.0,22661
carbon dot/carboxylated CNT/Ti3C2Tx MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1162.6,2.0,80.0,100000
Mo2Ti2C3Tx,mixed,H2SO4,0.0,0.0,hydrothermal approach,190.0,0.0,0.0,20.5,0.0,0.0,0.0,162.75,2.0,80.0,22661
MXene/graphene nanoplatelets,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,339.9,2.0,80.0,6487
Ti3C2Tx,mixed,NaCl-PVA,0.0,0.0,vacuum filtration,190.0,0.0,0.0,20.5,0.0,0.0,0.0,168.0,2.0,80.0,21751
MXene/GNP composite,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,339.9,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,849.0,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,882.0,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,822.0,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,787.5,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,724.5,2.0,80.0,22661
MXene-N,mixed,1 M H2SO4,0.0,0.0,LiF-HCl etching followed by liquid ammonia and lithium metal treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,558.0,2.0,80.0,19148
Ti3C2Tx MXene,mixed,1 M H2SO4,0.0,0.0,LiF-HCl method,190.0,0.0,0.0,20.5,0.0,0.0,0.0,421.5,2.0,80.0,22661
V2C,mixed,1 M H2SO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,730.5,2.0,80.0,22661
V2C,mixed,1 M MgSO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,337.5,2.0,80.0,22661
V2C,mixed,1 M KOH,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,276.0,2.0,80.0,22661
Ti2NTX,mixed,MgSO4 aqueous,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1.35,2.0,80.0,22661
Ti3C2Tx (nanoparticle and nanosheet mixture),mixed,,0.0,0.0,HF etching and HCl + LiF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,558.0,2.0,80.0,21751
Ti3C2Tx macroporous,mixed,1 M H2SO4,0.0,0.0,PMMA microspheres templating,190.0,0.0,0.0,20.5,0.0,0.0,0.0,465.0,2.0,80.0,22661
rGo/Ti3C2,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,292.5,2.0,80.0,100000
rGO/Ti3C2,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,381.0,2.0,80.0,22661
Co(OH)2/Ti3C2Tx,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,229.5,2.0,80.0,22202
Ti3C2/Ni-Co-Al-layered double hydroxide,mixed,KOH-PVA gel,0.0,0.0,Liquid-phase cofeeding,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1122.3000000000002,2.0,80.0,22661
Ti3C2Tx/ZnMnNi LDH,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,3097.5,2.0,80.0,100000
MXene/Fe3O4/MXene sandwich,mixed,1 M Li2SO4 aqueous,0.0,0.0,Laser crystallization,190.0,0.0,0.0,20.5,0.0,0.0,0.0,46.4,2.0,80.0,22661
MnO2 nanorods/MXene/carbon cloth,mixed,PVA and potassium hydroxide gel,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,766.8,2.0,80.0,22661
CoFe2O4 nanorod/Ti3C2Tx,mixed,LiCl,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,356.4,2.0,80.0,17771
PPy/MXene on polyester fabric,mixed,,0.0,0.0,Self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1295.0,2.0,80.0,22661
Ti3C2/polyaniline nanotubes,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,894.9000000000001,2.0,80.0,20488
TiO2/TiN/Ti3C2Tx,mixed,,0.0,0.0,Hydrothermal method,190.0,0.0,0.0,20.5,0.0,0.0,0.0,541.5,2.0,80.0,22661
Sodium ascorbate-caped Ti3C2Tx,mixed,,0.0,0.0,Ligand capping,190.0,0.0,0.0,20.5,0.0,0.0,0.0,108.1,2.0,80.0,22661
Ti3C2Tx,mixed,,0.0,0.0,Laser writing,190.0,0.0,0.0,20.5,0.0,0.0,0.0,15.03,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching,80.0,0.0,0.0,3.85,0.0,0.0,0.0,109.5,2.0,80.0,15899
ZnO-decorated Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,Hydrothermal,180.0,0.0,0.0,6.49,0.0,0.0,0.0,210.0,2.0,80.0,94287
ZnO-decorated Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,Hydrothermal,180.0,0.0,0.0,6.49,0.0,0.0,0.0,48.0,2.0,80.0,3786
Ta4C3,mixed,0.1 M H2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,6.599,0.0,0.0,0.0,721.5,2.0,80.0,3829
Ta4C3,mixed,0.1 M H2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,6.599,0.0,0.0,0.0,180.0,2.0,80.0,22661
Ti3C2,mixed,1 M LiOH,0.0,0.0,microwave-assisted and sequential spin coating,190.0,0.0,0.0,20.5,0.0,0.0,0.0,3405.0,2.0,80.0,22661
Ti3C2,mixed,1 M LiOH,0.0,0.0,microwave-assisted and sequential spin coating,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1114.5,2.0,80.0,22661
Ti3C2,mixed,1 M LiOH,0.0,0.0,microwave-assisted and sequential spin coating,190.0,0.0,0.0,20.5,0.0,0.0,0.0,420.0,2.0,80.0,5945
Ti3C2Tx,mixed,,0.0,0.0,spray coating,190.0,0.0,0.0,20.5,0.0,0.0,0.0,27.0,2.0,80.0,100000
MXene,mixed,,0.0,0.0,vacuum-assisted filtration and laser engraving,190.0,0.0,0.0,20.5,0.0,0.0,0.0,27.29,2.0,80.0,22661
MXene/graphene hybrid,mixed,,0.0,0.0,wet spinning,190.0,0.0,0.0,20.5,0.0,0.0,0.0,372.2,2.0,80.0,22661
Ti3C2,mixed,,0.0,0.0,dip-coating and mechanical etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,0.283,2.0,80.0,22661
MXene,mixed,,0.0,0.0,freeze-drying,190.0,0.0,0.0,20.5,0.0,0.0,0.0,2100.0,2.0,80.0,21179
MXene/EP,mixed,,0.0,0.0,electropolymerization,190.0,0.0,0.0,20.5,0.0,0.0,0.0,69.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,screen printing,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1100.0,2.0,80.0,22661
MXene/CNT,mixed,,0.0,0.0,FIB technique,190.0,0.0,0.0,20.5,0.0,0.0,0.0,317.0,2.0,80.0,22661
MXene-10,mixed,,0.0,0.0,vacuum filtration,190.0,0.0,0.0,20.5,0.0,0.0,0.0,558.0,2.0,80.0,21751
MXene/BC composite,mixed,,0.0,0.0,laser engraving,190.0,0.0,0.0,20.5,0.0,0.0,0.0,111.5,2.0,80.0,22661
MXene/SiC heterostructure,mixed,,0.0,0.0,ionization bombardment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,97.8,2.0,80.0,21179
MXene/MPF composite,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,489.15000000000003,2.0,80.0,22661
MXene/CNF/PC composite,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,143.0,2.0,80.0,22661
MXene/BC@PPy,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,388.0,2.0,80.0,100000
MXene and V2O5,mixed,PAM hydrogel,0.0,0.0,electrodeposition,190.0,0.0,0.0,20.5,0.0,0.0,0.0,129.0,2.0,80.0,8537
MXene (crumpled),mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,185.0,2.0,80.0,22661
MXene,mixed,,0.0,0.0,3D printing,190.0,0.0,0.0,20.5,0.0,0.0,0.0,2337.0,2.0,80.0,31210
MXene/CNT,mixed,,0.0,0.0,directional freeze drying,190.0,0.0,0.0,20.5,0.0,0.0,0.0,631.5,2.0,80.0,22661
MXene/graphene,mixed,,0.0,0.0,self-assembly with Zn template,190.0,0.0,0.0,20.5,0.0,0.0,0.0,589.5,2.0,80.0,22661
Ni-MOF/MXene,mixed,,0.0,0.0,folic acid-assisted solvothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,114.285,2.0,80.0,22661
MXene/ZIF-67/CoV2O6,mixed,,0.0,0.0,in-situ growth/ion-exchange,190.0,0.0,0.0,20.5,0.0,0.0,0.0,428.25,2.0,80.0,22661
MXene/NiCo ZIF-67,mixed,,0.0,0.0,alkali treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1315.5,2.0,80.0,96529
MXene/FeNi LDH,mixed,,0.0,0.0,hydrothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,379.0,2.0,80.0,17455
MXene/trimetallic LDH,mixed,,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1359.0,2.0,80.0,22661
ternary LDH-MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1654.3500000000001,2.0,80.0,22661
MXene-COF,mixed,,0.0,0.0,microfluid-assisted,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1180.5,2.0,80.0,22661
COF/MXene,mixed,,0.0,0.0,cation-driven self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,585.0,2.0,80.0,22661
COF-MXene heterostructure,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,435.0,2.0,80.0,22661
