mxene_type,electrolyte,areal_capacitance_mf_cm2,volumetric_capacitance_f_cm3,specific_capacitance_f_g,ssa_m2_g,annealing_temperature_c,scan_rate_mv_s,current_density_a_g,cycling_stability,num_cycles,synthesis_method,source_filename,paper_doi,paper_title,extraction_timestamp,model_used
Ti3C2Tx,PVA/KOH gel,,,553.1,,140.0,,0.2,100.0,10000.0,Hydrothermal,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline/MXene matrix for high-performance supercapacitor anode materials,2026-03-08T15:48:18.759759,gemini-3.1-pro-preview
Ti3C2Tx,6 M KOH,,,335.0,,140.0,,0.2,,,Hydrothermal,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline/MXene matrix for high-performance supercapacitor anode materials,2026-03-08T15:48:18.759760,gemini-3.1-pro-preview
Ti3C2Tx,6 mol/L KOH,,,1443.6,,180.0,,1.0,89.68,10000.0,Electrostatic self-assembly,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759771,gemini-3.1-pro-preview
Ti3C2Tx,6 mol/L KOH,,,1237.6,,180.0,,2.0,,,Electrostatic self-assembly,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759774,gemini-3.1-pro-preview
Ti3C2Tx,6 mol/L KOH,,,1188.9,,180.0,,5.0,,,Electrostatic self-assembly,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759776,gemini-3.1-pro-preview
Ti3C2Tx,6 mol/L KOH,,,385.7,,50.0,,1.0,61.59,10000.0,LiF/HCl etching,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759777,gemini-3.1-pro-preview
,6 mol/L KOH,,,714.6,,180.0,,1.0,68.4,10000.0,Hydrothermal,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759779,gemini-3.1-pro-preview
Ti3C2Tx,6 mol/L KOH,,,149.9,,,,1.0,82.84,10000.0,Asymmetric Supercapacitor Assembly,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4-Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,Heterostructured NiMo3S4/Ti3C2Tx MXene composite with enhanced electrochemical performance for supercapacitor electrodes,2026-03-08T15:48:18.759780,gemini-3.1-pro-preview
Ti3C2Tx,1 M KOH,,,,10.0,,,5.0,96.4,5000.0,"Selective etching of Ti3AlC2 with HF, DMSO intercalation, and weak sonication",High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide/MXene asymmetric supercapacitor,2026-03-08T15:48:18.759782,gemini-3.1-pro-preview
Ti3C2Tx,1 M KOH,,,,77.5,400.0,,5.0,70.4,5000.0,Hydrothermal method to grow Ni(OH)2 on Ti3C2Tx followed by thermal annealing at 400 C for 1 h to form Ni-dMXNC,High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide/MXene asymmetric supercapacitor,2026-03-08T15:48:18.759788,gemini-3.1-pro-preview
Ti3C2Tx,1 M KOH,,,,,,,1.0,72.1,5000.0,Assembly of asymmetric supercapacitor (ASC) using Ni-dMXNC as positive electrode and Ti3C2Tx MXene as negative electrode,High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide-MXene asymmetric supercapacitor,High volumetric energy density annealed-MXenenickel oxide/MXene asymmetric supercapacitor,2026-03-08T15:48:18.759789,gemini-3.1-pro-preview
Ti3C2,6 M KOH,350.0,,,,,,,,,solvothermal,"Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations","Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations",Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor: Influence of Ni cations,2026-03-08T15:48:18.759792,gemini-3.1-pro-preview
Ti3C2,6 M KOH,3300.0,,1100.0,,,,,83.0,4000.0,solvothermal,"Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations","Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations",Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor: Influence of Ni cations,2026-03-08T15:48:18.759794,gemini-3.1-pro-preview
Ti3C2,6 M KOH,1350.0,,,,,,,,,solvothermal,"Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations","Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations",Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor: Influence of Ni cations,2026-03-08T15:48:18.759795,gemini-3.1-pro-preview
Ti3C2,PAAm-KOH hydrogel,335.0,,,,,,,70.0,10000.0,solvothermal,"Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations","Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor, Influence of Ni cations",Tin oxide nanoparticles decorated hierarchical MXene for asymmetric supercapacitor: Influence of Ni cations,2026-03-08T15:48:18.759796,gemini-3.1-pro-preview
Ti3C2,3 M KOH,,,1148.12,57.5,,5.0,,,4700.0,solve-thermal,Design and fabrication of NdFeO3 adorned on MXene a hybrid electrode for supercapacitor applications,Design and fabrication of NdFeO3 adorned on MXene a hybrid electrode for supercapacitor applications,Design and fabrication of NdFeO3 adorned on MXene: a hybrid electrode for supercapacitor applications,2026-03-08T15:48:18.759809,gemini-3.1-pro-preview
Ti3C2,3 M KOH,,,1315.06,57.5,,,1.0,,4700.0,solve-thermal,Design and fabrication of NdFeO3 adorned on MXene a hybrid electrode for supercapacitor applications,Design and fabrication of NdFeO3 adorned on MXene a hybrid electrode for supercapacitor applications,Design and fabrication of NdFeO3 adorned on MXene: a hybrid electrode for supercapacitor applications,2026-03-08T15:48:18.759814,gemini-3.1-pro-preview
V2CTx,1 M H2SO4,,,592.9,,,2.0,,,,hydrothermal,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759816,gemini-3.1-pro-preview
Ti3C2,3 M H2SO4,,,1609.5,,,2.0,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759818,gemini-3.1-pro-preview
MXene,,,1302.0,,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759819,gemini-3.1-pro-preview
MXene,,,,272.7,,,,0.5,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759820,gemini-3.1-pro-preview
MXene,,,,446.18,,,5.0,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759822,gemini-3.1-pro-preview
MXene,6 M KOH,,,156.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759823,gemini-3.1-pro-preview
Ti3C2Tx,,,,415.0,,,,,90.0,18000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759824,gemini-3.1-pro-preview
MXene,,,,491.0,,,,,,,photochemical,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759826,gemini-3.1-pro-preview
MXene,,,,575.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759827,gemini-3.1-pro-preview
MXene,,,,449.0,,350.0,2.0,,,,ammonium salt decomposition,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759828,gemini-3.1-pro-preview
MXene,1 M ZnSO4,,,247.9,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759830,gemini-3.1-pro-preview
MXene,3 M H2SO4,,,299.52,,,2.0,,,,heat treatment,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759831,gemini-3.1-pro-preview
MXene,,,,1849.0,,,2.0,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759838,gemini-3.1-pro-preview
MXene,1 M H2SO4,,,340.0,,,2.0,,100.0,10000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759842,gemini-3.1-pro-preview
MXene,1 M H2SO4,,,192.0,,,,,,,ammonia annealing,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759844,gemini-3.1-pro-preview
V4C3Tx,,,,210.0,,350.0,10.0,,,,ammonia annealing,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759845,gemini-3.1-pro-preview
MXene,,,,266.5,,,5.0,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759846,gemini-3.1-pro-preview
MXene,,,,1280.0,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759848,gemini-3.1-pro-preview
MXene,H2SO4,,,463.0,,,,,90.8,10000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759849,gemini-3.1-pro-preview
MXene,6 M KOH,,,247.0,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759850,gemini-3.1-pro-preview
MXene,,,,327.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759852,gemini-3.1-pro-preview
MXene,,,,190.0,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759853,gemini-3.1-pro-preview
MXene,,,,418.4,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759855,gemini-3.1-pro-preview
MXene,,,,82.8,,,3000.0,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759857,gemini-3.1-pro-preview
MXene,,,,260.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759858,gemini-3.1-pro-preview
MXene,,,,332.0,,,,,99.2,10000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759859,gemini-3.1-pro-preview
MXene,,,,250.0,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759861,gemini-3.1-pro-preview
MXene,,,,150.33,,,,1.0,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759862,gemini-3.1-pro-preview
MXene,,,,148.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759863,gemini-3.1-pro-preview
MXene,KNO3,,,78.0,,,,,90.4,25000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759865,gemini-3.1-pro-preview
MXene,,,,457.0,,,,,95.0,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759866,gemini-3.1-pro-preview
MXene,,,,167.2,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759867,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,,,495.0,,400.0,,,98.0,6000.0,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759868,gemini-3.1-pro-preview
MXene,,,,475.0,,,,,,,,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,Effectiveness of Nitrogen-Doping in MXene-Based Composites for Supercapacitor Electrodes,2026-03-08T15:48:18.759870,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,,,34.0,,,1.0,,,,HF etching,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759872,gemini-3.1-pro-preview
N-Ti3C2Tx,1 M H2SO4,,,192.0,,200.0,1.0,,92.0,10000.0,HF etching and ammonia annealing,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759874,gemini-3.1-pro-preview
N-Ti3C2Tx,1 M H2SO4,,,128.0,,200.0,200.0,,,,HF etching and ammonia annealing,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759875,gemini-3.1-pro-preview
N-Ti3C2Tx,1 M H2SO4,,,45.0,,300.0,1.0,,,,HF etching and ammonia annealing,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759876,gemini-3.1-pro-preview
N-Ti3C2Tx,1 M H2SO4,,,20.0,,500.0,1.0,,,,HF etching and ammonia annealing,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759878,gemini-3.1-pro-preview
N-Ti3C2Tx,1 M H2SO4,,,10.0,,700.0,1.0,,,,HF etching and ammonia annealing,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759879,gemini-3.1-pro-preview
Ti3C2Tx,1 M MgSO4,,,52.0,,,1.0,,,,HF etching,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,Nitrogen-doped Ti3C2Tx MXene electrodes for high-performance supercapacitors,2026-03-08T15:48:18.759880,gemini-3.1-pro-preview
